time	T hot	T water	T cold	mBar
16:08:14	25.0	25.3	25.0	7444
16:08:16	25.0	25.2	25.0	7441
16:08:17	25.0	25.3	25.0	7442
16:08:19	25.0	25.3	25.0	7441
16:08:21	25.0	25.2	25.0	7440
16:08:22	25.0	25.2	25.1	7440
16:08:24	25.0	25.2	25.0	7441
16:08:25	25.0	25.2	25.0	7437
16:08:27	25.0	25.2	25.0	7439
16:08:28	25.0	25.2	25.0	7437
16:08:30	25.0	25.2	25.0	7437
16:08:32	25.0	25.2	25.0	7436
16:08:33	25.0	25.2	25.0	7436
16:08:35	25.0	25.2	25.0	7437
16:08:36	25.0	25.2	25.0	7436
16:08:38	25.0	25.2	25.0	7436
16:08:40	25.0	25.2	25.0	7436
16:08:41	25.0	25.2	25.0	7434
16:08:43	25.0	25.1	25.0	7434
16:08:44	25.0	25.2	25.0	7434
16:08:46	25.0	25.1	25.0	7434
16:08:47	25.0	25.2	25.0	7434
16:08:49	25.0	25.1	25.0	7434
16:08:51	25.0	25.2	25.0	7434
16:08:52	25.0	25.2	25.0	7431
16:08:54	25.0	25.2	25.0	7432
16:08:55	25.0	25.2	25.0	7430
16:08:57	25.0	25.2	25.1	7430
16:08:59	25.0	25.2	25.1	7430
16:09:00	25.0	25.2	25.0	7430
16:09:02	25.0	25.2	25.1	7429
16:09:03	25.0	25.1	25.1	7430
16:09:05	25.0	25.1	25.0	7427
16:09:06	25.0	25.2	25.0	7429
16:09:08	25.0	25.2	25.0	7427
16:09:10	25.0	25.1	25.0	7426
16:09:11	25.0	25.2	25.0	7427
16:09:13	25.0	25.2	25.0	7423
16:09:14	25.0	25.2	25.0	7421
16:09:16	25.0	25.2	25.0	7421
16:09:18	25.0	25.2	25.0	7421
16:09:19	25.0	25.2	25.0	7419
16:09:21	25.0	25.2	25.0	7418
16:09:22	25.0	25.2	25.0	7419
16:09:24	25.0	25.2	25.0	7416
16:09:25	25.0	25.2	25.0	7413
16:09:27	25.0	25.3	25.0	7414
16:09:29	25.0	25.2	25.0	7411
16:09:30	25.0	25.2	25.0	7410
16:09:32	25.0	25.2	25.0	7410
16:09:33	25.0	25.2	25.0	7411
16:09:35	24.9	25.2	24.9	7409
16:09:37	24.9	25.2	25.0	7406
16:09:38	25.0	25.2	25.0	7406
16:09:40	25.0	25.2	25.0	7406
16:09:41	25.0	25.3	25.0	7406
16:09:43	25.0	25.2	25.0	7405
16:09:44	25.0	25.2	25.0	7405
16:09:46	25.0	25.2	24.9	7405
16:09:48	24.9	25.2	25.0	7405
16:09:49	25.0	25.3	25.0	7405
16:09:51	25.0	25.2	25.0	7404
16:09:52	25.0	25.2	25.0	7403
16:09:54	25.0	25.2	25.0	7404
16:09:56	25.1	25.2	25.1	7400
16:09:57	25.0	25.2	25.1	7400
16:09:59	25.0	25.2	25.0	7399
16:10:00	25.0	25.3	25.0	7400
16:10:02	25.0	25.2	25.1	7399
16:10:04	25.0	25.2	25.0	7399
16:10:05	25.0	25.2	25.0	7399
16:10:07	25.0	25.2	25.0	7400
16:10:08	25.0	25.2	25.0	7400
16:10:10	25.0	25.3	25.0	7398
16:10:11	25.0	25.3	25.0	7398
16:10:13	25.0	25.3	25.1	7397
16:10:15	25.0	25.3	25.1	7395
16:10:16	25.1	25.3	25.1	7398
16:10:18	25.0	25.2	25.1	7397
