time	T cell	T cold	mBar
10:55:11	-46.4	-45.9	4515
10:55:13	-46.4	-45.9	4515
10:55:15	-46.3	-45.9	4508
10:55:16	-46.4	-45.9	4500
10:55:18	-46.3	-46.0	4499
10:55:19	-46.5	-46.0	4492
10:55:21	-46.5	-46.0	4487
10:55:23	-46.5	-46.0	4482
10:55:24	-46.5	-46.0	4477
10:55:26	-46.6	-46.0	4471
10:55:27	-46.6	-46.1	4472
10:55:29	-46.7	-46.1	4463
10:55:30	-46.6	-46.1	4460
10:55:32	-46.6	-46.1	4453
10:55:34	-46.6	-46.1	4449
10:55:35	-46.7	-46.2	4445
10:55:37	-46.7	-46.2	4441
10:55:38	-46.8	-46.2	4434
10:55:40	-46.8	-46.2	4435
10:55:42	-46.8	-46.2	4430
10:55:43	-46.8	-46.2	4420
10:55:45	-46.8	-46.3	4421
10:55:46	-46.8	-46.3	4413
10:55:48	-46.8	-46.3	4398
10:55:49	-46.9	-46.4	4395
10:55:51	-46.8	-46.3	4389
10:55:53	-46.9	-46.3	4385
10:55:54	-46.9	-46.3	4387
10:55:56	-46.9	-46.4	4378
10:55:57	-46.8	-46.4	4379
10:55:59	-46.9	-46.4	4377
10:56:00	-46.8	-46.4	4369
10:56:02	-46.8	-46.4	4367
10:56:04	-46.9	-46.5	4364
10:56:05	-47.0	-46.5	4359
10:56:07	-47.1	-46.5	4357
10:56:08	-47.1	-46.6	4356
10:56:10	-47.1	-46.5	4346
10:56:12	-47.0	-46.6	4352
10:56:13	-47.1	-46.6	4343
10:56:15	-47.0	-46.6	4341
10:56:16	-47.0	-46.6	4338
10:56:18	-47.1	-46.7	4335
10:56:19	-47.2	-46.7	4330
10:56:21	-47.2	-46.7	4330
10:56:23	-47.3	-46.7	4325
10:56:24	-47.2	-46.7	4326
10:56:26	-47.2	-46.7	4324
10:56:27	-47.1	-46.8	4315
10:56:29	-47.1	-46.8	4311
10:56:30	-47.2	-46.8	4311
10:56:32	-47.3	-46.8	4306
10:56:34	-47.3	-46.8	4307
10:56:35	-47.4	-46.8	4304
10:56:37	-47.4	-46.8	4296
10:56:38	-47.3	-46.8	4299
10:56:40	-47.3	-46.8	4296
10:56:42	-47.2	-46.8	4291
